,Lista/Pacto,Partido,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,32.0,"29,09%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
7,UNION DEMOCRATA INDEPENDIENTE,,3.0,"2,73%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
8,11. SANDRA AMAR MANCILLA,IND-UDI,3.0,"2,73%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
11,RENOVACION NACIONAL,,20.0,"18,18%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,20.0,"18,18%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
16,AB.PARTIDO DE LA GENTE,,5.0,"4,55%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
18,PARTIDO DE LA GENTE,,5.0,"4,55%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,5.0,"4,55%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
24,AH.NUEVO PACTO SOCIAL,,8.0,"7,27%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
26,PARTIDO DEMOCRATA CRISTIANO,,1.0,"0,91%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
27,15. NINEN GOMEZ VILLEGAS,PDC,1.0,"0,91%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
30,PARTIDO SOCIALISTA DE CHILE,,7.0,"6,36%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,7.0,"6,36%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
35,AN.DIGNIDAD AHORA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
37,PARTIDO HUMANISTA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
